tweet_id,retweet_count,favorite_count
803692223237865472,6932,0
803638050916102144,3890,10384
803380650405482500,1770,7400
803321560782307329,4962,0
803276597545603072,2300,9560
802952499103731712,1875,8583
802624713319034886,2727,0
802600418706604034,1385,6769
802572683846291456,2359,8524
802323869084381190,5488,15354
802265048156610565,1299,6623
802265048156610565,1299,6623
802239329049477120,2460,8644
802185808107208704,251,0
801958328846974976,1598,7370
801854953262350336,219,1726
801538201127157760,1954,7819
801285448605831168,773,5747
801167903437357056,5525,23194
801127390143516673,3701,0
801115127852503040,1985,7680
800859414831898624,91,647
800855607700029440,1520,0
800751577355128832,2638,10093
800513324630806528,2834,12502
800459316964663297,2063,9052
800443802682937345,4029,0
800388270626521089,2638,10623
800188575492947969,3698,0
800141422401830912,2396,14511
800018252395122689,12333,26899
799774291445383169,4375,0
799757965289017345,2004,7982
799422933579902976,1801,7684
799308762079035393,5093,0
799297110730567681,2569,9389
799063482566066176,2342,7688
798933969379225600,4162,12433
798925684722855936,1362,7158
798705661114773508,6222,0
798701998996647937,7254,0
798697898615730177,6103,0
798694562394996736,4644,0
798686750113755136,2181,0
798682547630837760,4436,0
798673117451325440,5228,0
798665375516884993,3679,0
798644042770751489,1746,0
798628517273620480,1867,0
798585098161549313,5278,0
798576900688019456,5490,0
798340744599797760,3142,0
798209839306514432,2425,9931
797971864723324932,2893,10954
797545162159308800,4621,13878
797236660651966464,6167,18954
797165961484890113,24,214
796904159865868288,8360,0
796865951799083009,1830,7313
796759840936919040,2837,11217
796563435802726400,6751,0
796484825502875648,1654,7183
796387464403357696,3893,10468
796177847564038144,13388,0
796149749086875649,13388,30521
796125600683540480,1686,4739
796116448414461957,2254,8647
796080075804475393,2171,8026
796031486298386433,3503,10282
795464331001561088,21991,46839
795400264262053889,2687,9521
795076730285391872,5106,15350
794983741416415232,3161,0
794926597468000259,2162,9688
794355576146903043,9672,0
794332329137291264,2537,9133
794205286408003585,3117,8769
793962221541933056,4583,15923
793845145112371200,1750,8779
793614319594401792,2931,0
793601777308463104,1519,7574
793500921481273345,2237,10127
793286476301799424,8603,23357
793271401113350145,2249,8260
793256262322548741,7812,18948
793241302385262592,3080,9993
793226087023144960,2719,9286
793210959003287553,2613,8488
793195938047070209,5282,14458
793180763617361921,1867,6562
793165685325201412,2630,8916
793150605191548928,1597,5853
793135492858580992,2362,6086
793120401413079041,3692,12039
792913359805018113,3718,13606
792883833364439040,4007,10711
792773781206999040,1573,6997
792394556390137856,4018,12728
792050063153438720,1673,6784
